"Title","ID","Created Date","Updated Date","Owner","Solution","Order","Hide","Icon","Rich Text"
"Product Definition","00373554-c380-4571-bf0c-42a1cbe1771c",2025-03-30T16:29:54Z,2025-05-22T16:28:10Z,"b805cef0-823c-4610-b623-a9de8636fce2","71b465bd-04a9-4cc5-9f43-3fb45560a8c6",4,,,"<p class=""font_8"">Define your product strategy with our fractional chief product officers and design experience team.</p>"
"Cultural Initiatives","096afe4c-da3e-4e95-9446-a1a82dd95d38",2025-03-31T05:04:16Z,2025-05-22T16:29:44Z,"b805cef0-823c-4610-b623-a9de8636fce2","80279842-5e70-43b0-bda2-5ef909f6523b",6,,,"<p class=""font_8"">Efforts to build a supportive and inclusive workplace culture.</p>"
"Human-Centric Approach","0b17314a-f4bd-4224-aab8-8f4bc1702152",2025-05-19T23:34:47Z,2026-01-06T17:56:03Z,"b805cef0-823c-4610-b623-a9de8636fce2","0b6c88a7-b508-425f-aa32-65455a0130ea",5,,,"<p class=""font_8"">Focus on a human-centric approach by considering the needs and experiences of the employees. This ensures that the operating system is user-friendly and supports the well-being and productivity of the workforce.</p>"
"Current State Assessment","0cb74fbc-a143-46c8-a3fc-b211055f5ef9",2025-05-19T23:34:47Z,2025-05-22T16:26:07Z,"b805cef0-823c-4610-b623-a9de8636fce2","0b6c88a7-b508-425f-aa32-65455a0130ea",2,,,"<p class=""font_8"">Evaluate the current state of the organization using a management maturity model. This assessment identifies areas for improvement and acceleration, providing a clear picture of the organization's strengths and weaknesses.</p>"
"Methodology","0cccec57-b15b-4888-98c8-d7d2e1f1285f",2025-05-19T23:31:46Z,2025-05-22T16:28:36Z,"b805cef0-823c-4610-b623-a9de8636fce2","7716c57c-cde1-4177-9eee-479212043293",4,,,"<p class=""font_8"">A proven curriculum-based methodology to design and manage pilot and deployment projects</p>"
"Long Term Planning","12730567-0943-489c-b6f1-2174b61bad9d",2025-03-31T17:41:27Z,2025-05-22T16:27:57Z,"b805cef0-823c-4610-b623-a9de8636fce2","6dc3d89f-1009-4196-baee-bc884bffdda4",7,,,"<p class=""font_8"">Set in motion content strategies and long-term plans that align with the company’s vision and strategic objectives.</p>"
"Interviews","137fcb5d-7a3e-4aa7-80aa-a408839296dc",2025-03-30T16:30:54Z,2025-05-22T16:28:00Z,"b805cef0-823c-4610-b623-a9de8636fce2","71b465bd-04a9-4cc5-9f43-3fb45560a8c6",1,,,"<p class=""font_8"">1:1 dialogue with key stakeholders inside and outside your organization.</p>"
"Leadership Expertise","16ed00f8-fa25-483a-a3d3-08a5248e7d79",2025-03-31T17:32:19Z,2025-05-22T16:27:33Z,"b805cef0-823c-4610-b623-a9de8636fce2","6dc3d89f-1009-4196-baee-bc884bffdda4",1,,,"<p class=""font_8"">Providing leadership in communication or marketing communications, both short-term and long-term</p>"
"Interviews","186d4229-d18c-4348-a3e3-a96407c132ac",2025-05-19T23:34:45Z,2025-05-22T16:26:04Z,"b805cef0-823c-4610-b623-a9de8636fce2","0b6c88a7-b508-425f-aa32-65455a0130ea",1,,,"<p class=""font_8"">Conduct detailed interviews with key stakeholders to understand their needs, challenges, and expectations. This helps in gathering valuable insights and setting the foundation for a tailored operating system.</p>"
"Measurement","1d44b511-ef55-4f09-b38c-ec4ef8d8b1dd",2025-05-21T02:05:02Z,2025-05-22T16:25:52Z,"b805cef0-823c-4610-b623-a9de8636fce2","03424973-e10c-4637-896f-7fe47df954ea",5,,,"<ul class=""font_8"">
  <li><p class=""font_8"">Collect and analyze data to measure the success of implemented strategies and initiatives.</p></li>
  <li><p class=""font_8"">Prepare detailed reports for management, translating technical metrics into business impacts.</p></li>
  <li><p class=""font_8"">Communicate progress regularly to maintain transparency and stakeholder engagement.</p></li>
</ul>"
