Old URL,New URL,Redirect Type,Redirect Status,Notes
/services-item/strategy-old/delivery-project-management,/delivery-project-management,Single Redirect,Active,
/services-2/experiences-old/design,/services-item/experiences-old/design,Single Redirect,Active,
/contact-us,/contact,Single Redirect,Active,
/services-2/strategy-old/company-operating-system,/services-item/strategy-old/company-operating-system,Single Redirect,Active,
/services-offerings/strategy,/services/strategy,Single Redirect,Active,
/ppm,/solutions/delivery-management,Single Redirect,Active,
/copy-of-ai-strategy-and-design,/strategy,Single Redirect,Active,
/services-4,/services-offerings,Single Redirect,Active,
/people,/team,Single Redirect,Active,
/services-offerings/gtm-marketing-creative-agency,/services/gtm-marketing-creative-agency,Single Redirect,Active,
/employee-engagement,/employee-effectiveness,Single Redirect,Active,
/services-item/experiences-old/communications,/communications,Single Redirect,Active,
/services-item/technology-old/employee-effectiveness,/employee-effectiveness,Single Redirect,Active,
/services-2/technology-old/employee-effectiveness,/services-item/technology-old/employee-effectiveness,Single Redirect,Active,
/services-2/strategy-old,/services-item/strategy-old,Single Redirect,Active,
/services/strategy,/blank-10/strategy-old,Single Redirect,Active,
/services-item/gtm-marketing-creative-agency-old/brand-messaging,/brand-messaging,Single Redirect,Active,
/services-2/technology-old/ai,/services-item/technology-old/ai,Single Redirect,Active,
/marketing-creative-agency,/gtm-marketing-creative-agency,Single Redirect,Active,
/services-2/gtm-marketing-creative-agency-old,/services-item/gtm-marketing-creative-agency-old,Single Redirect,Active,
/strategy/company-operating-system,/services-offerings/strategy/company-operating-system,Single Redirect,Active,
/events,/event-list,Single Redirect,Active,
/services-2,/services-offerings,Single Redirect,Active,
/case-studies/ai-&-governance-acceleration-for-private-equity,/case-studies/ai-and-governance-acceleration-for-private-equity,Single Redirect,Active,
/s/Polaris-Guest-Guidelines.pdf,https://b805cef0-823c-4610-b623-a9de8636fce2.usrfiles.com/ugd/b805ce_896147a72089423a879f8cfcf7ff08ce.pdf,Single Redirect,Active,
/services/gtm-marketing-creative-agency/gtm-strategy,/blank-10/gtm-marketing-creative-agency-old/gtm-strategy,Single Redirect,Active,
/services-2/experiences-old/employee-strategies,/services-item/experiences-old/employee-strategies,Single Redirect,Active,
/services/strategy/company-operating-system,/blank-10/strategy-old/company-operating-system,Single Redirect,Active,
/services-item/experiences-old/employee-strategies,/employee-strategies,Single Redirect,Active,
/services/technology,/blank-10/technology-old,Single Redirect,Active,
/general-7,/ai,Single Redirect,Active,
/gtm-marketing-creative-agency,/services-offerings/gtm-marketing-creative-agency,Single Redirect,Active,
/subscribe,/join,Single Redirect,Active,
/blog,/insights,Single Redirect,Active,
/services/technology/employee-effectiveness,/blank-10/technology-old/employee-effectiveness,Single Redirect,Active,
/services-2/gtm-marketing-creative-agency-old/brand-messaging,/services-item/gtm-marketing-creative-agency-old/brand-messaging,Single Redirect,Active,
/services-2/strategy-old/delivery-project-management,/services-item/strategy-old/delivery-project-management,Single Redirect,Active,
/services/technology/ai,/solutions/ai-strategy-and-design,Single Redirect,Active,
/services-offerings,/services-offerings-old,Single Redirect,Active,
/services-item/technology-old/roadmaps,/roadmaps,Single Redirect,Active,
/services-2/experiences-old,/services-item/experiences-old,Single Redirect,Active,
/resources/v/company-operating-system-webinar-2024,/webinars/upgrade-your-company-operating-system,Single Redirect,Active,
/copy-of-clients,/partners,Single Redirect,Active,
/services-offerings/strategy/fractional-leadership,/services/strategy/fractional-leadership,Single Redirect,Active,
/insights/ai-insights-from-the-microsoft-work-trend-index,/post/navigating-ai-insights-from-the-microsoft-work-trend-index,Single Redirect,Active,
/services/gtm-marketing-creative-agency/microsoft-partners,/blank-10/gtm-marketing-creative-agency-old/microsoft-partners,Single Redirect,Active,
/copy-of-copilot-ai-training,/microsoft-partner-gtm-strategy-review,Single Redirect,Active,
/services-offerings/strategy/experiences,/services-offerings/experiences,Single Redirect,Active,
/services-2/gtm-marketing-creative-agency-old/gtm-strategy,/services-item/gtm-marketing-creative-agency-old/gtm-strategy,Single Redirect,Active,
/navigating-the-ai-stratosphere,/items/navigating-ai-stratosphere,Single Redirect,Active,
/about-4,/subscribe,Single Redirect,Active,
/case-studies/go‑to‑market-transformation-for-a-microsoft‑aligned-software-company,/case-studies/go-to-market-transformation-for-a-microsoft-aligned-software-company,Single Redirect,Active,
/services/experiences/communications,/blank-10/experiences-old/communications,Single Redirect,Active,
/insights/the-booming-content-management-market-insights-and-projections-for-2025-2028nbsp20,/post/the-booming-content-management-market-insights-and-projections-for-2025-2028,Single Redirect,Active,
