title,rsvp guests,tickets sold,sales,start date,location,last modified,waitlist,registration,type,status
Microsoft Tribal CIO Summit 2026,0,0,,2026-04-22T01:00:00Z,"15975 NE One, Microsoft Way, Redmond, WA 98052, USA",2026-04-18T19:58:43Z,0,UNKNOWN_REGISTRATION_STATUS,RSVP,UPCOMING
"AI‑Driven GTM: How to Assess, Rebuild, and Accelerate Your 2026 Plans",0,0,,2026-03-23T17:00:00Z,,2026-03-25T00:48:08Z,0,CLOSED_AUTOMATICALLY,RSVP,ENDED
"The New AI Frontier: Market Shifts, Maturity Gaps, and How to Lead with Copilot",0,0,,2026-03-17T17:00:00Z,,2026-02-23T13:06:48Z,0,CLOSED_AUTOMATICALLY,RSVP,ENDED
M365 Community Days DC 2026,0,0,,2026-01-29T16:00:00Z,"1300 Wilson Blvd, Arlington, VA 22209, USA",2025-12-14T17:03:45Z,0,CLOSED_AUTOMATICALLY,RSVP,ENDED
AI+IM Global Summit,0,0,,2026-04-28T19:00:00Z,"300 Light St, Baltimore, MD 21202, USA",2025-12-18T17:50:31Z,0,OPEN_EXTERNAL,RSVP,UPCOMING
Partner Vibe,0,0,,2026-01-28T19:00:00Z,"6700 Padre Blvd, South Padre Island, TX 78597, USA",2025-12-18T17:54:48Z,0,CLOSED_AUTOMATICALLY,RSVP,ENDED
M365 Community Conference 2026,0,0,,2026-04-21T13:00:00Z,"6300 Hollywood Wy, Orlando, FL 32819, USA",2026-03-24T11:52:53Z,0,OPEN_EXTERNAL,RSVP,UPCOMING
"Strategy, Now with AI -  Building Your Company Operating System™ for 2026 Success",0,0,,2026-01-06T16:00:00Z,,2025-11-30T05:02:57Z,0,CLOSED_AUTOMATICALLY,RSVP,ENDED
Experts Live US,0,0,,2025-10-10T12:00:00Z,"11 Times Sq, New York, NY 10036, USA",2025-08-19T18:23:15Z,0,CLOSED_AUTOMATICALLY,RSVP,ENDED
Vancouver AI Summit,0,0,,2025-10-20T00:00:00Z,"555 W Hastings St, Vancouver, BC V6B 4N6, Canada",2025-08-19T18:08:23Z,0,CLOSED_AUTOMATICALLY,RSVP,ENDED
ESPC25,0,0,,2025-12-01T19:00:00Z,"Spencer Dock, N Wall Quay, North Wall, Dublin 1, D01 T1W6, Ireland",2025-06-10T21:30:25Z,0,CLOSED_AUTOMATICALLY,RSVP,ENDED
Microsoft Ignite,0,0,,2025-11-18T03:00:00Z,"747 Howard St, San Francisco, CA 94103, USA",2025-06-10T21:26:33Z,0,CLOSED_AUTOMATICALLY,RSVP,ENDED
TechCon 365 Dallas,0,0,,2025-11-03T15:00:00Z,"500 W Las Colinas Blvd., Irving, TX 75039, USA",2025-06-10T21:20:08Z,0,CLOSED_AUTOMATICALLY,RSVP,ENDED
FY26 Forward: Microsoft Partner Success Strategies,0,0,,2025-08-26T15:00:00Z,,2025-07-08T19:14:34Z,0,CLOSED_AUTOMATICALLY,RSVP,ENDED
Business Strategy Masterclass,0,0,,2025-06-17T15:00:00Z,,2025-04-23T20:03:10Z,0,CLOSED_AUTOMATICALLY,RSVP,ENDED
Mastering Your AI Rollout: Success Strategies,0,0,,2025-06-12T17:00:00Z,,2025-04-23T20:06:02Z,0,CLOSED_AUTOMATICALLY,RSVP,ENDED
M365 Philly 2025,0,0,,2025-04-26T12:00:00Z,"45 Liberty Blvd, Malvern, PA 19355, USA",2025-04-12T21:16:10Z,0,CLOSED_AUTOMATICALLY,RSVP,ENDED
AI+IM Summit,0,0,,2025-03-31T16:00:00Z,"265 Peachtree Rd NE, Atlanta, GA 30303, USA",2025-03-25T16:21:43Z,0,CLOSED_AUTOMATICALLY,RSVP,ENDED
How to Succeed with Your Copilot Rollout,0,0,,2025-02-11T16:00:00Z,,2025-02-28T18:09:31Z,0,CLOSED_AUTOMATICALLY,RSVP,ENDED
TechCon 365 Seattle,0,0,,2025-06-23T16:00:00Z,"900 Pine St, Seattle, WA 98101, USA",2025-02-22T20:20:54Z,0,CLOSED_AUTOMATICALLY,RSVP,ENDED
Microsoft 365 Community Conference,0,0,,2025-05-04T15:00:00Z,"3799 S Las Vegas Blvd, Las Vegas, NV 89109, USA",2025-05-06T08:52:20Z,0,CLOSED_AUTOMATICALLY,RSVP,ENDED
Transforming the Digital Workplace: Strategies for Engagement and Success,0,0,,2025-03-11T15:00:00Z,,2025-02-22T20:08:02Z,0,CLOSED_AUTOMATICALLY,RSVP,ENDED
