Page path,Date,Session day,Session hour,Browser,Browser version,Device type,Operating system,City,Country,IP address,Postal code,Region,First page in session,Last page in session,Next page viewed,Page URL,Previous page viewed,Traffic category,Traffic source,Traffic source URL,UTM campaign content,UTM campaign ID,UTM campaign keywords,UTM campaign medium,UTM campaign name,UTM campaign source,UTM Wix campaign,UTM Wix source,Site member,Visitor type,Page views,Site sessions,Unique visitors,Avg. sessions by day,Avg. views by day,Avg. visitors by day,Avg. pages per session,Avg. session duration,Avg. time on page,Bounce rate,Exit rate
/,3/20/2026,7,17,Chrome,146.0.0.0,Mobile,Android,Seattle,United States,172.56.104.91,98144,WA,true,true,Unknown,https://synozur.com/,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,5,1,1,1,5,1,1,"3m, 12s",,0%,100%
/webinars/upgrade-your-company-operating-system,4/22/2026,5,21,Chrome,147.0.0.0,Mobile,Android,New York,United States,140.174.209.90,10004,NY,true,true,Unknown,https://synozur.com/webinars/upgrade-your-company-operating-system,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,3,1,1,1,3,1,1,"7m, 1s",,0%,100%
/post/claude-comes-inside-the-microsoft-365-boundary,1/13/2026,4,11,Safari,26.2,Mobile,iOS,Warsaw,Poland,Unknown,00-510,14,true,true,Unknown,https://synozur.com/post/claude-comes-inside-the-microsoft-365-boundary?utm_source=perplexity,Unknown,Direct,Direct,Unknown,_,_,_,_,_,perplexity,_,_,false,New,3,1,1,1,3,1,1,"5m, 35s",,0%,100%
/team,3/15/2026,2,13,Firefox,148.0,Desktop,Windows,Portland,United States,73.164.171.54,97217,OR,false,true,Unknown,https://synozur.com/team,/,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,Returning,3,1,1,1,3,1,1,"9m, 10s",,0%,100%
/post/ignite-2025-sharepoint-steps-up-as-copilots-knowledge-platform,1/6/2026,4,12,Edge,143.0.0.0,Desktop,Windows,Geneva,United States,Unknown,60134,IL,true,true,Unknown,https://synozur.com/post/ignite-2025-sharepoint-steps-up-as-copilots-knowledge-platform,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,3,1,1,1,3,1,1,"1m, 3s",,0%,100%
/post/gpt-5-2-arrives-in-m365-copilot,2/27/2026,7,10,Google App,409.0.872648028,Mobile,iOS,Laredo,United States,72.179.99.60,78041,TX,true,true,Unknown,https://synozur.com/post/gpt-5-2-arrives-in-m365-copilot,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,3,1,1,1,3,1,1,"13m, 14s",,0%,100%
/start,2/3/2026,4,17,Facebook,544.0.0.42.272,Mobile,Android,Staten Island,United States,98.15.39.105,10314,NY,true,true,Unknown,https://synozur.com/start,Unknown,Referral,syndicatedsearch.goog,https://syndicatedsearch.goog/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,,,100%,100%
/post/11-copilot-tips-to-supercharge-your-productivity,4/5/2026,2,20,Edge,146.0.0.0,Desktop,Windows,Unknown,Unknown,204.114.196.5,Unknown,Unknown,true,false,/post/the-future-of-copilot-the-magnificent-seven,https://synozur.com/post/11-copilot-tips-to-supercharge-your-productivity,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"1m, 55s","1m, 55s",0%,0%
/post/welcoming-michelle-boyd-as-executive-director-first-nations-ai-digital-futures-initiative,4/20/2026,3,14,Edge,147.0.0.0,Desktop,Windows,Redmond,United States,50.147.210.194,98052,WA,true,true,Unknown,https://synozur.com/post/welcoming-michelle-boyd-as-executive-director-first-nations-ai-digital-futures-initiative,Unknown,Referral,statics.teams.cdn.office.net,https://statics.teams.cdn.office.net/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"2m, 25s",,0%,100%
/post/11-copilot-tips-to-supercharge-your-productivity,2/22/2026,2,8,Edge,145.0.0.0,Desktop,Windows,London,United Kingdom,136.226.166.113,EC4V,ENG,true,true,Unknown,https://synozur.com/post/11-copilot-tips-to-supercharge-your-productivity,Unknown,Organic search,Bing,https://bing.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"5m, 1s",,0%,100%
