Date,Session day,Session hour,Browser,Browser version,Device type,Operating system,City,Country,IP address,Postal code,Region,First page in session,Last page in session,Next page viewed,Page path,Page URL,Previous page viewed,Traffic category,Traffic source,Traffic source URL,UTM campaign content,UTM campaign ID,UTM campaign keywords,UTM campaign medium,UTM campaign name,UTM campaign source,UTM Wix campaign,UTM Wix source,Site member,Visitor type,Page views,Site sessions,Unique visitors,Bounce rate,Avg. session duration,Avg. sessions by day,Avg. views by day,Avg. visitors by day,Avg. pages per session,Avg. time on page,Exit rate
7/1/2026,Wednesday,4,LinkedIn App,Unknown,Mobile,iOS,Johannesburg,South Africa,155.93.130.10,2192,GP,First in session,Yes,Unknown,/ai-training,https://synozur.com/ai-training,Unknown,Organic social,Linkedin,https://linkedin.com/,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,5,Edge,149.0.4022.80,Desktop,Linux,Florissant,United States,99.44.24.125,63031,MO,First in session,Yes,Unknown,/ai-training,https://synozur.com/ai-training,Unknown,Referral,com.linkedin.android,android-app://com.linkedin.android/,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,0%,30s,1,1,1,1,,100%
7/1/2026,Wednesday,11,Edge,149.0.0.0,Desktop,Windows,Bothell,United States,50.47.239.237,98021,WA,Not first in session,No,/team/michelle-caldwell,/team,https://synozur.com/team,/,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,0%,41s,1,1,1,1,26s,0%
7/1/2026,Wednesday,4,Edge,149.0.0.0,Desktop,Windows,Manchester,United Kingdom,88.97.177.188,M19,MAN,First in session,Yes,Unknown,/post/11-copilot-tips-to-supercharge-your-productivity,https://synozur.com/post/11-copilot-tips-to-supercharge-your-productivity,Unknown,Organic search,Bing,https://bing.com/,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,1,Edge,149.0.4022.80,Mobile,iOS,Redmond,United States,50.175.4.2,98052,WA,First in session,Yes,Unknown,/ai-training,https://synozur.com/ai-training,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,14,Edge,149.0.0.0,Desktop,Windows,London,United Kingdom,208.127.123.188,W1U,ENG,Not first in session,Yes,Unknown,/about,https://synozur.com/about,/clients,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,0%,9s,1,1,1,1,,100%
7/1/2026,Wednesday,13,Edge,149.0.0.0,Desktop,Windows,Bellevue,United States,73.42.173.149,98004,WA,First in session,No,/about,/,https://synozur.com/?utm_source=chatgpt.com,Unknown,AI platforms,ChatGPT,https://chatgpt.com/,_,_,_,_,_,chatgpt.com,_,_,Not a member,Returning,1,1,1,0%,27s,1,1,1,1,3s,0%
7/1/2026,Wednesday,1,LinkedIn App,Unknown,Mobile,iOS,Redmond,United States,50.175.4.2,98052,WA,First in session,Yes,Unknown,/ai-training,https://synozur.com/ai-training,Unknown,Organic social,Linkedin,https://linkedin.com/,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,9,Chrome,148.0.0.0,Desktop,Linux,New York,United States,149.57.191.86,10118,NY,First in session,Yes,Unknown,/post/stop-buying-ai-start-building-value,https://synozur.com/post/stop-buying-ai-start-building-value,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,1,Chrome,149.0.0.0,Desktop,Mac OS,Reykjavik,Iceland,46.182.184.138,101,RKV,First in session,No,/services-overview/default,/,https://synozur.com/,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,0%,37s,1,1,1,1,25s,0%
7/1/2026,Wednesday,11,Edge,149.0.0.0,Desktop,Windows,Bothell,United States,50.47.239.237,98021,WA,First in session,No,/team,/,https://synozur.com/,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,0%,41s,1,1,1,1,15s,0%
7/1/2026,Wednesday,14,Chrome,148.0.0.0,Desktop,Linux,New York,United States,149.57.176.14,10118,NY,First in session,Yes,Unknown,/post/from-the-closet-to-the-c-suite-the-case-for-radical-honesty,https://synozur.com/post/from-the-closet-to-the-c-suite-the-case-for-radical-honesty,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
