session_id,path,viewedAt,pageviewCount,browserName,deviceType,osName,city,country,region,trafficSource,referrerUrl,utmSource,utmMedium,utmCampaign,utmContent,timeOnPageMs
wix_172.56.104.91_3202026_17,/,2026-03-20T17:00:00Z,5,Chrome,mobile,Android,Seattle,US,WA,direct,,,,,,
wix_unknown_162026_12,/post/ignite-2025-sharepoint-steps-up-as-copilots-knowledge-platform,2026-01-06T12:00:00Z,3,Edge,desktop,Windows,Geneva,US,IL,direct,,,,,,
wix_72.179.99.60_2272026_10,/post/gpt-5-2-arrives-in-m365-copilot,2026-02-27T10:00:00Z,3,Google App,mobile,iOS,Laredo,US,TX,organic,https://google.com/,,,,,
wix_unknown_1132026_11,/post/claude-comes-inside-the-microsoft-365-boundary,2026-01-13T11:00:00Z,3,Safari,mobile,iOS,Warsaw,PL,14,direct,,perplexity,,,,
wix_73.164.171.54_3152026_13,/team,2026-03-15T13:00:00Z,3,Firefox,desktop,Windows,Portland,US,OR,direct,,,,,,
wix_140.174.209.90_4222026_21,/webinars/upgrade-your-company-operating-system,2026-04-22T21:00:00Z,3,Chrome,mobile,Android,New York,US,NY,organic,https://google.com/,,,,,
wix_146.75.253.249_622026_12,/team,2026-06-02T12:00:00Z,3,Safari,mobile,iOS,Cambridge,US,MA,organic,https://google.com/,,,,,
wix_98.15.39.105_232026_17,/start,2026-02-03T17:00:00Z,2,Facebook,mobile,Android,Staten Island,US,NY,referral,https://syndicatedsearch.goog/,,,,,
wix_173.48.146.164_1192026_11,/post/ignite-2025-sharepoint-steps-up-as-copilots-knowledge-platform,2026-01-19T11:00:00Z,2,Safari,mobile,iOS,Medford,US,MA,direct,,,,,,
wix_93.96.179.50_1142026_3,/post/claude-comes-inside-the-microsoft-365-boundary,2026-01-14T03:00:00Z,2,Chrome,desktop,Windows,Forest Hill,GB,LEW,direct,,,,,,
wix_50.47.248.147_3242026_8,/search,2026-03-24T08:00:00Z,2,Edge,desktop,Windows,Bothell,US,WA,direct,,,,,,16000
wix_205.220.46.212_622026_10,/team,2026-06-02T10:00:00Z,2,Chrome,desktop,Windows,Boston,US,MA,organic,https://google.com/,,,,,
wix_61.250.32.20_3202026_12,/,2026-03-20T12:00:00Z,2,Chrome,desktop,Mac OS,,KR,,direct,,,,,,
wix_155.190.35.168_1262026_7,/post/claude-comes-inside-the-microsoft-365-boundary,2026-01-26T07:00:00Z,2,Chrome,desktop,Windows,Frankfurt am Main,DE,HE,referral,https://statics.teams.cdn.office.net/,,,,,
wix_194.120.133.31_382026_6,/,2026-03-08T06:00:00Z,2,Safari,desktop,Mac OS,Southall,GB,EAL,direct,,,,,,12000
wix_72.37.129.44_1222026_13,/,2026-01-22T13:00:00Z,2,Edge,desktop,Windows,Los Angeles,US,CA,direct,,,,,,
